"date","asplanchna","asterionella","brachionus","diatom_chain","dinobryon","eudiaptomus","kellikottia","keratella_quadrata","nauplius","polyarthra","rotifers","synchaeta","ceratium","cyclops","fragilaria","keratella_cochlearis","paradileptus","bosmina","daphnia","trichocerca","conochilus","diaphanosoma","uroglena","leptodora","chaoborus","aphanizomenon","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","diatom","ciliate","mean_temp","cv_temp_day","cv_temp_depth","mean_condF","cv_condF_day","cv_condF_depth","mean_o2","cv_o2_day","cv_o2_depth","mean_o2ppm","cv_o2ppm_day","cv_o2ppm_depth","mean_ph","cv_ph_day","cv_ph_depth","mean_chla","cv_chla_day","cv_chla_depth","mean_turb","cv_turb_day","cv_turb_depth","mean_phycoer","cv_phycoer_day","cv_phycoer_depth","mean_par","cv_par_day","cv_par_depth","mean_phy","cv_phy_day","cv_phy_depth","mean_cloud_cover","mean_global_radiation","atmospheric_pressure_max","atmospheric_pressure_min","atmospheric_pressure_mean","temp_max","temp_min","temp_mean","precipitation_tot","rel_air_humidity_max","rel_air_humidity_min","rel_air_humidity_mean","sunshine_duration","windspeed_mean","windspeed_max","wind_direction_mean","mean_global_radiation_GR","atmospheric_pressure_max_GR","atmospheric_pressure_min_GR","atmospheric_pressure_mean_GR","temp_max_GR","temp_min_GR","temp_mean_GR","precipitation_tot_GR","rel_air_humidity_max_GR","rel_air_humidity_min_GR","rel_air_humidity_mean_GR","windspeed_mean_GR","windspeed_max_GR","wind_direction_mean_GR","sample","Nitrat","Nitrit","Ammonium","oP","TP","TN","TOC","mean_thermocline_depth","cv_thermo","mean_schmidt","cv_schmidt","mean_epi_temp","cv_epi_temp","mean_mixed_layer_depth","cv_mixed_layer_depth","ml_irradiance","mean_oxycline_depth","cv_oxycline_depth"
2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,17,967.4,963.7,965.1,4.5,3,3.6,0,98,75.3,87.4,0,2.5,4.6,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,40,969.2,963.6,966.3,4.1,-2.7,1.1,3.7,94.3,57.1,76,0.9,2.5,4.9,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,57,970.3,968.8,969.4,-0.3,-4.9,-2.2,0,89.5,50.1,75.1,4.1,1,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,68,969.5,967,968.4,1.6,-3.7,-0.8,0,87.7,56.6,73.4,5.2,1.1,2.3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,9,967.8,964.5,965.4,1.4,-1.3,-0.1,6.3,97.2,71.7,88,0,2.2,3,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,11,966.8,964,965.5,1.6,0.6,1.1,6,99.4,87.3,95,0,1.7,2.8,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,22,966.8,962.6,965.7,2.1,0.6,1.3,0,99,83.7,92.4,0,1.3,3.3,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11,962.4,951.7,956,2.9,0,1.7,2.8,96.1,81,89.3,0,5,6.6,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,21,951.9,948.5,949.8,1.9,-2.5,0.1,3.9,96.8,76.7,89.5,0,2.6,5.1,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,16,957.8,952,955.3,-0.9,-3,-1.8,5.1,96,87.5,92.3,0,0.8,1.5,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
